Наименование / ФИО,Тип субъекта,Категория,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Нематериальные активы 2024,Нематериальные активы 2023,Основные средства 2024,Основные средства 2023,Доходные вложения 2024,Доходные вложения 2023,Доход 2024,Доход 2023,Амортизация НМА(приблизительно),Амортизация вся(приблизительно),ebita,ebitda
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМАХИМТРЕЙД""",Юридическое лицо,Малое предприятие,1651054907,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,22564,15728,72742,38641,123113,83641,-282,90911,6836,80409,6554,80127
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМАЭНЕРГОМОНТАЖ""",Юридическое лицо,Малое предприятие,264070988,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,,г Уфа,,13542,1611,15839,13573,55432,25954,-60,125566,11931,43675,11871,43615
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМАЭНЕРГОСТРОЙ""",Юридическое лицо,Малое предприятие,5905995640,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,г Пермь,,0,0,47330,54698,0,0,-2025,330561,0,0,-2025,-9393
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМЕННЫЙ ВЕК""",Юридическое лицо,Малое предприятие,7706577473,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,20300,19800,0,0,45,541677,0,500,45,545
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАММОНТАЖСТРОЙ""",Юридическое лицо,Малое предприятие,1650320730,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Набережные Челны,,0,0,668,926,0,0,3637,213449,0,0,3637,3379
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМСКАЯ ПРОМЫШЛЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Среднее предприятие,1650298812,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Набережные Челны,,0,0,30975,26290,0,0,157162,1149996,0,4685,157162,161847
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМСТРОЙ-НЧ""",Юридическое лицо,Малое предприятие,1650333908,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Набережные Челны,,0,0,1918,2016,0,0,201716,301332,0,0,201716,201618
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМСТРОЙ""",Юридическое лицо,Малое предприятие,7706699898,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,18162,18563,26274,28701,47779,54245,-1366,395383,0,0,-1767,-10660
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМТЕХСТРОЙ-НК""",Юридическое лицо,Среднее предприятие,1650315673,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,0,0,49097,33920,0,0,177980,769887,0,15177,177980,193157
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМЧАТГЭССТРОЙ""",Юридическое лицо,Среднее предприятие,4101163993,41.20 Строительство жилых и нежилых зданий,41 - Камчатский край,,г Петропавловск-Камчатский,,0,0,17495,24703,0,0,51837,281373,0,0,51837,44629
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМЧАТСКИЙ МОСТООТРЯД""",Юридическое лицо,Малое предприятие,4105039556,41.20 Строительство жилых и нежилых зданий,41 - Камчатский край,Елизовский р-н,,п Новый,0,0,120278,126883,0,0,78637,256122,0,0,78637,72032
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАНДАЛАКШСКАЯ ПЕРЕРАБАТЫВАЮЩАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,5102046437,41.20 Строительство жилых и нежилых зданий,51 - Мурманская область,Кандалакшский р-н,г Кандалакша,,0,0,11370,28119,0,0,-34486,183906,0,0,-34486,-51235
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАНСОН""",Юридическое лицо,Малое предприятие,5027210830,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,7243,2764,174915,272129,203520,439453,-12,759613,4479,0,4467,-328680
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАНСТРОЙ СЕВЕРО-ЗАПАД""",Юридическое лицо,Малое предприятие,2902072769,41.20 Строительство жилых и нежилых зданий,29 - Архангельская область,,г Северодвинск,,43774,30143,433307,385975,482752,420960,-2428,506138,13631,122755,11203,120327
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАНСТРОЙ""",Юридическое лицо,Малое предприятие,403004590,41.20 Строительство жилых и нежилых зданий,04 - Республика Алтай,Усть-Канский р-н,,с Усть-Кан,0,0,4675,6465,0,0,-3816,32443,0,0,-3816,-5606
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ ГРУПП""",Юридическое лицо,Малое предприятие,6671144347,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,г Екатеринбург,,0,0,17196,9344,0,0,7300,169371,0,7852,7300,15152
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ ГРУПП""",Юридическое лицо,Малое предприятие,7719739763,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,39771,281,15812,18311,56920,54449,-1534,208230,39490,39462,37956,37928
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ ГРУПП""",Юридическое лицо,Малое предприятие,7704828107,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,41285,17125,0,0,-867,295945,0,24160,-867,23293
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ СТРОЙ""",Юридическое лицо,Малое предприятие,5024152379,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Красногорск,,948,625,308576,316528,316985,328258,-4719,68947,323,0,-4396,-23621
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ СТРОЙ""",Юридическое лицо,Малое предприятие,276157094,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,,г Уфа,,0,10,4594,2026,0,0,54200,1388726,0,2558,54190,56758
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ-СТРОЙ""",Юридическое лицо,Малое предприятие,5040074664,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Раменское,д Юрово,0,0,2058,323,2099,924,-1094,29549,0,2910,-1094,1816
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ-СТРОЙ""",Юридическое лицо,Малое предприятие,7451258333,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Челябинск,,0,0,34299,15157,0,0,-9845,335285,0,19142,-9845,9297
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ-СТРОЙ""",Юридическое лицо,Малое предприятие,2311256217,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,40902,29002,47574,65247,107507,116817,-207,248791,11900,0,11693,-15290
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ""",Юридическое лицо,Малое предприятие,2016002695,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,,г Грозный,,0,0,21880,16589,0,0,4215,132359,0,5291,4215,9506
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ""",Юридическое лицо,Малое предприятие,546015311,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,,г Кизилюрт,,1206,519,0,19,25159,53114,63366,495529,687,0,64053,36079
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ""",Юридическое лицо,Малое предприятие,7456050635,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Магнитогорск,,12120,3016,333649,300123,399604,395794,-9867,677005,9104,46440,-763,36573
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛГРУППСТРОЙ""",Юридическое лицо,Среднее предприятие,7604259048,41.20 Строительство жилых и нежилых зданий,76 - Ярославская область,,г Ярославль,,0,0,35132,40806,0,0,2489,1503649,0,0,2489,-3185
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛПРОМ""",Юридическое лицо,Малое предприятие,2311290634,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,19444,8084,13324,26700,67860,45180,-949,104235,11360,20664,10411,19715
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛРЕМСТРОЙ""",Юридическое лицо,Малое предприятие,7722706180,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,7542,1757,0,0,578,117275,0,5785,578,6363
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ""",Юридическое лицо,Малое предприятие,4632289539,41.20 Строительство жилых и нежилых зданий,46 - Курская область,,г Курск,,101016,90625,141224,70662,310992,178474,-662,671434,10391,213471,9729,212809
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ""",Юридическое лицо,Малое предприятие,2536308993,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Владивосток,,4595,4697,2085,2753,49240,21906,-49,3930,0,26564,-151,26515
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ""",Юридическое лицо,Малое предприятие,7716663611,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Красногорск,,27666,35016,18338,24251,95787,213605,-2380,94080,0,0,-9730,-133461
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ""",Юридическое лицо,Малое предприятие,7726429730,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,2527,2997,0,0,4781,373619,0,0,4781,4311
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ""",Юридическое лицо,Среднее предприятие,5507254386,41.20 Строительство жилых и нежилых зданий,55 - Омская область,,г Омск,,0,0,96851,46992,0,0,-275970,1381359,0,49859,-275970,-226111
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ""",Юридическое лицо,Малое предприятие,9704013355,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,6081,8272,0,0,209,47349,0,0,209,-1982
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ""",Юридическое лицо,Малое предприятие,9723145188,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,11226,2350,0,0,2143,267671,0,8876,2143,11019
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙИНВЕСТ""",Юридическое лицо,Малое предприятие,7202188220,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,,г Тюмень,,27422,23486,155301,71318,204746,105650,-2625,271814,3936,187015,1311,184390
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛЬНОЕ СТРОИТЕЛЬСТВО""",Юридическое лицо,Малое предприятие,3662139240,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,,г Воронеж,,0,0,183082,210055,0,0,29971,484300,0,0,29971,2998
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛЬНЫЙ РЕМОНТ И СТРОИТЕЛЬСТВО""",Юридическое лицо,Малое предприятие,3528164845,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,10789,11475,0,0,1055,76121,0,0,1055,369
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛЮГСТРОЙ""",Юридическое лицо,Малое предприятие,2301092577,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,Анапский р-н,г Анапа,,2942,4216,44555,92119,58500,104033,-340,45851,0,0,-1614,-94711
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТЕЛЬ""",Юридическое лицо,Малое предприятие,7116010392,41.20 Строительство жилых и нежилых зданий,71 - Тульская область,Новомосковский р-н,г Новомосковск,,8912,10096,68917,62560,95245,80154,-491,118406,0,20264,-1675,19773
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТЕЛЬ""",Юридическое лицо,Малое предприятие,7816235786,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,3319,211,148788,188630,214463,244997,-5203,462124,3108,0,-2095,-72471
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПРЕМСТРОЙ""",Юридическое лицо,Малое предприятие,265043578,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,,г Октябрьский,,2249,3276,386185,635118,439807,792642,-2471,93810,0,0,-3498,-605266
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПРЕМСТРОЙ""",Юридическое лицо,Малое предприятие,268052852,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,,г Стерлитамак,,0,0,5869,22269,6348,22275,-648,41406,0,0,-648,-32975
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ СЕВЕРО-ЗАПАД""",Юридическое лицо,Малое предприятие,4703145102,41.20 Строительство жилых и нежилых зданий,08 - Республика Калмыкия,,г Элиста,,0,0,0,36148,0,55718,-763,58446,0,0,-763,-92629
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ""",Юридическое лицо,Среднее предприятие,2524004983,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Находка,,0,0,399978,455346,0,0,701614,1909701,0,0,701614,646246
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ""",Юридическое лицо,Малое предприятие,7716891174,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,6034,17062,0,0,-45400,3865729,0,0,-45400,-56428
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ""",Юридическое лицо,Малое предприятие,9102270411,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,2855,0,120526,161727,150626,174787,-1231,93929,2855,0,1624,-63738
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ""",Юридическое лицо,Среднее предприятие,5027226445,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Котельники,,0,0,405,861,0,0,30427,972212,0,0,30427,29971
